Title,date,detailURL,views
2021.2월 졸업예정자 졸업논문 대체 TOPCIT성적표 제출 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1865&search=&keyword=&temp1=&offset=10,711
2020-2학기 강현철 교수님 정기상담 일정 안내,2020.11.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1862&search=&keyword=&temp1=&offset=10,532
2020-2학기 김은우 교수님 정기상담 일정 안내,2020.11.06,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1860&search=&keyword=&temp1=&offset=10,596
2021년 2월 졸업예정자(복수전공자포함)졸업예정신고서 제..,2020.11.23,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1906&search=&keyword=&temp1=&offset=7,"1,007"
PeopleSpace 온라인 인턴십 지원자 모집 안내,2020.11.27,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1915&search=&keyword=&temp1=&offset=7,797
[해외인턴십] 2021년 Headstart SV 해외 온라인 인턴십 지원자 ..,2020.12.03,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1918&search=&keyword=&temp1=&offset=7,657
[해외인턴십] 2021년 해외 장기 인턴(Uniquify Internship) 모집 안..,2020.12.02,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1917&search=&keyword=&temp1=&offset=7,656
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
[대학혁신지원사업] 겨울 단기 해외 명문대학 온라인 강의(..,2020.11.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1911&search=&keyword=&temp1=&offset=7,574
(제출방법 수정)2021.2월 졸업예정자 졸업논문 대체 TOPCIT성..,2020.11.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1912&search=&keyword=&temp1=&offset=7,902
2020학년도 2학기 기말시험 비대면 전환 안내,2020.11.25,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1909&search=&keyword=&temp1=&offset=7,684
SW중심대학 소개영상 이벤트 안내,2020.11.23,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1907&search=&keyword=&temp1=&offset=7,762
(제출방법 수정)2021년 2월 졸업예정자(복수전공자포함)졸업..,2020.11.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1914&search=&keyword=&temp1=&offset=7,"1,054"
(제출방법 수정)2021년 2월 공학인증 졸업예정자 제출서류 ..,2020.11.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1913&search=&keyword=&temp1=&offset=7,881
[공학교육혁신센터] 2021년 1월 Unity VR기초과정 및 VR콘텐츠 ..,2020.12.04,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1919&search=&keyword=&temp1=&offset=6,636
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
2021-동계 SW전공 학부연구생 프로그램(PE프로그램) 모집 안..,2020.12.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1929&search=&keyword=&temp1=&offset=6,"1,124"
2020 LINC+ Internship UCC Awards 개최 안내,2020.12.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1928&search=&keyword=&temp1=&offset=6,677
208관 601호 실습실 운영중단 안내,2020.12.09,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1927&search=&keyword=&temp1=&offset=6,625
코로나 19 사회적 거리두기 단계별 교내 시설 운영 기준 안..,2020.12.08,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1926&search=&keyword=&temp1=&offset=6,872
[대학혁신지원사업] 겨울 단기 해외 명문대학 온라인 강의(..,2020.12.08,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1925&search=&keyword=&temp1=&offset=6,646
2021-동계 SW융합 학부연구생 프로그램 모집 안내,2020.12.07,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1924&search=&keyword=&temp1=&offset=6,796
2021년 2월 졸업예정자(복수전공자포함)졸업예정신고서 제..,2020.12.07,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1923&search=&keyword=&temp1=&offset=6,"1,098"
2021년 2월 공학인증 졸업예정자 제출서류 안내,2020.12.07,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1922&search=&keyword=&temp1=&offset=6,"1,105"
2021.2월 졸업예정자 졸업논문 대체 TOPCIT성적표 제출 안내,2020.12.07,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1921&search=&keyword=&temp1=&offset=6,"1,031"
K-MOOC AI 아카데미 온라인 특강 안내,2021.01.07,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1949&search=&keyword=&temp1=&offset=4,784
,작성일,https://cse.cau.ac.kr/sub05/sub0501.php,조회수
2020학년도 2학기 대학 원격수업 만족도 설문조사 협조 요청,2021.01.28,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1960&search=&keyword=&temp1=&offset=4,534
KG에듀원ITBANK 국비지원과정 안내,2021.01.27,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1959&search=&keyword=&temp1=&offset=4,562
[취업] 성공 취업을 위한 모의면접/자소서 검토 참여자 모..,2021.01.26,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1958&search=&keyword=&temp1=&offset=4,558
2021년 2월 졸업 학사학위취득 유예 신청 안내,2021.01.15,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1953&search=&keyword=&temp1=&offset=4,586
[SW중심대학] 재학생 만족도 조사,2021.01.08,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1950&search=&keyword=&temp1=&offset=4,719
2021학년도 1학기 수강신청(학부) 테스트 참여 안내,2021.01.15,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1954&search=&keyword=&temp1=&offset=4,732
S&T장학재단 장학생 지원 안내,2021.01.14,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1952&search=&keyword=&temp1=&offset=4,694
수강신청 시스템 사용 매뉴얼,2021.01.19,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1956&search=&keyword=&temp1=&offset=4,745
2021년 입학 전 SW교육(CSPE) 온라인 프로그램 수강 안내(정시..,2021.01.18,https://cse.cau.ac.kr/sub05/sub0501.php?nmode=view&code=oktomato_bbs05&uid=1955&search=&keyword=&temp1=&offset=4,711
